iter	Passed	Remaining
229	6819	22829
230	6847	22795
231	6873	22753
232	6899	22710
233	6926	22675
234	6952	22632
235	6979	22593
236	7003	22545
237	7029	22505
238	7063	22490
239	7094	22465
240	7120	22423
241	7152	22402
242	7192	22405
243	7225	22387
244	7257	22365
245	7288	22338
246	7316	22304
247	7343	22266
248	7371	22233
249	7398	22195
250	7425	22158
251	7451	22117
252	7482	22093
253	7511	22060
254	7542	22034
255	7569	21998
256	7597	21964
257	7631	21948
258	7661	21918
259	7689	21886
260	7714	21844
261	7742	21807
262	7770	21774
263	7798	21741
264	7826	21706
265	7853	21671
266	7883	21642
267	7913	21615
268	7940	21578
269	7967	21541
270	7992	21500
271	8020	21467
272	8048	21433
273	8074	21394
274	8106	21371
275	8137	21347
276	8168	21319
277	8198	21293
278	8224	21254
279	8268	21262
280	8295	21224
281	8327	21202
282	8361	21184
283	8390	21154
284	8417	21118
285	8442	21077
286	8470	21042
287	8500	21015
288	8528	20982
289	8555	20945
290	8585	20919
291	8610	20878
292	8636	20839
293	8663	20803
294	8689	20766
295	8719	20739
296	8749	20709
297	8784	20692
298	8814	20665
299	8840	20627
300	8871	20602
301	8899	20568
302	8926	20534
303	8951	20494
304	8983	20470
305	9012	20438
306	9040	20407
307	9070	20378
308	9099	20347
309	9132	20326
310	9155	20283
311	9189	20264
312	9215	20226
313	9240	20188
314	9265	20149
315	9291	20111
316	9315	20071
317	9339	20030
318	9365	19992
319	9390	19953
320	9414	19914
321	9437	19872
322	9462	19833
323	9487	19794
324	9516	19764
325	9542	19729
326	9566	19689
327	9593	19654
328	9617	19615
329	9644	19580
330	9673	19551
331	9699	19516
332	9731	19491
333	9760	19462
334	9796	19446
335	9822	19410
336	9847	19373
337	9874	19340
338	9899	19302
339	9928	19273
340	9963	19254
341	9990	19222
342	10019	19192
343	10047	19159
344	10075	19128
345	10102	19094
346	10127	19058
347	10152	19021
348	10188	19005
349	10214	18969
350	10246	18945
351	10275	18916
352	10303	18884
353	10335	18861
354	10364	18830
355	10395	18805
356	10425	18777
357	10453	18746
358	10480	18713
359	10508	18682
360	10536	18649
361	10564	18619
362	10591	18585
363	10616	18549
364	10641	18513
365	10668	18481
366	10697	18450
367	10724	18418
368	10754	18390
369	10780	18355
370	10814	18334
371	10844	18307
372	10874	18279
373	10906	18255
374	10941	18235
375	10971	18208
376	11005	18186
377	11039	18165
378	11071	18140
379	11103	18115
380	11138	18096
381	11183	18093
382	11215	18067
383	11243	18036
384	11271	18004
385	11302	17979
386	11337	17958
387	11370	17934
388	11401	17908
389	11436	17887
390	11468	17862
391	11497	17833
392	11526	17803
393	11556	17774
394	11588	17750
395	11619	17722
396	11648	17693
397	11679	17666
398	11706	17633
399	11737	17605
400	11766	17576
401	11797	17549
402	11829	17523
